,b,w_-1,w_-2,w_-3,w_-4
0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0
5,1.3821655286618362,-1.3821655286618362,-1.3821655286618362,-1.3821655286618362,1.3821655286618362
6,2.5493386992957583,-0.35265838436457175,-2.5493386992957583,-2.5493386992957583,0.35265838436457175
7,3.6687940829247174,0.5954440662476524,-1.6390909604884936,-3.6687940829247174,-0.5954440662476524
8,2.873299716559225,-0.20792801309417266,-2.4558060671856214,-6.146037598681502,0.20792801309417266
9,2.5665105204844134,0.10069661222045524,-2.7678077424761973,-6.987307305701203,-0.10069661222045524
10,1.3299572964707016,0.9210761985402252,-1.9711771411801966,-8.29068378853839,-0.9210761985402252
11,-2.8616036383729018,2.3250432459791943,-0.5799375181320817,-6.935582125071478,-2.3250432459791943
12,-3.2481239094985237,1.935255485006361,-0.9884284592170103,-7.439424208992437,-3.2409179927763567
13,-4.007335277274802,-2.6352209421158292,2.7613312935992695,-6.775280035542872,-2.639176253388064
14,-5.317515214379798,0.3016464984712286,-0.30326892910215747,-5.467594675221083,-0.15255132184528444
15,-5.317496872962029,0.30168643009351725,-0.30323164296260785,-5.467628166015689,-0.15249022268997323
16,-5.144981721192162,0.3015882198329631,-0.30332730647970535,-5.641668618938434,0.19404559752308925
17,-5.221140348302107,-0.0009213187720603952,-0.0008514435124540707,-5.566545037525026,0.34525248483229165
18,-5.127658501996502,-0.24637320580741082,0.24821318447565008,-5.6613924002092695,0.16190476652339425
19,-0.6073124760350336,0.03169121261445685,-0.19464185760558886,-0.8733440172689549,-0.18056873761296455
20,-0.320467202852724,0.32331355642448156,0.030111742028413473,-0.9789937387856681,0.1746525225510875
21,-0.4598385854701236,0.27098449142563696,-0.033391148475600395,-1.0970162842722202,0.1904636774419454
22,-0.5600534029779831,0.2969704329939316,-0.08454011418249364,-1.1719970132670312,0.13641205990854327
23,-0.6352224964561313,0.31607355296781336,-0.04855996103538991,-1.251002856718643,0.10416954640085845
24,-0.5638654509386434,0.2868485067115684,-0.09955937319009833,-1.32083496470656,0.2114884515875538
25,-0.5181689139537184,0.3684353735880148,-0.16963453785524266,-1.3577179982246153,0.17694125728105498
