,b,w_-1,w_-2,w_-3,w_-4
0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0
5,1.3821655286618362,1.3821655286618362,1.3821655286618362,-1.3821655286618362,1.3821655286618362
6,0.02289554172328324,0.02289554172328324,0.02289554172328324,-3.420767291196959,3.420767291196959
7,1.171642915644106,-1.644487845310001,1.171642915644106,-2.396946070188338,5.213076831142449
8,-0.07721606127414937,-3.582335750872748,3.254241932800486,-3.8987957717079604,4.072457467231932
9,-11.662235610112214,3.6585828264914415,7.764463162668207,3.6585828264914415,7.764463162668219
10,-13.788577018394603,4.369690285590629,9.181819425782082,4.369690285589762,9.181819425782082
11,-11.356846386849298,-0.26391877724416635,0.2642709654619744,-0.26391877741463465,11.62087335574453
12,-11.35684734178507,-0.26392792065981574,0.2642472345021481,-0.26392792081437344,11.620872400857108
13,-11.356847977858157,-0.2639363512925543,0.2642258594144202,-0.2639363514326864,11.620871764878707
14,-11.356848384573802,-0.2639441056840127,0.26420659030756244,-0.2639441058271787,11.620871358273863
15,-11.261061966667892,-0.4559218201501374,-0.033168816927449725,-0.45592182037512563,11.716657780541013
16,-11.26106345579178,-0.4558891447335081,-0.033102107165554,-0.45588914493697213,11.716656291562586
17,-1.0327018948808715,-0.7144001601585603,0.39889934922483333,-0.7144001601585603,1.342997798492343
18,-1.0556103235194938,-0.7279148861608182,0.40787708523458466,-0.7279148861608181,1.3582380751223833
19,-1.0545168985824156,-0.766486258136851,0.4510390960290274,-0.766486258136851,1.4227015372850724
20,-0.2566129338044739,-0.28573827715664435,0.19983857859351425,-0.28573827715664435,0.9413162194091503
21,-0.15900265853423684,-0.14016552835893467,0.29603712782311925,-0.34923390818697625,1.0247835588866283
22,0.10459565836934649,0.04928597447576678,0.5958091540635939,-0.1107650890260292,0.890738256677627
23,0.16738454659369886,0.09365125926729996,0.6517018621657621,-0.05259333308534081,0.9711052115496234
24,-0.04869470660125967,-0.06594286575701713,0.4605455951748917,-0.2632340084335032,0.7008252633879684
25,-0.19212328610913385,0.15014885967494762,0.372893421633395,-0.4867973823901278,0.5933442026587452
26,-0.2715438785779856,0.24416594730828695,0.48282456640154764,-0.5867646224698742,0.5371086044447516
