,b,w_-1,w_-2,w_-3,w_-4
0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0
5,-1.3821655286618362,1.3821655286618362,1.3821655286618362,1.3821655286618362,-1.3821655286618362
6,-1.4165497207601934e-07,1.4165497207601934e-07,1.4165497207601934e-07,1.4165497207601934e-07,-6.0136494534525085
7,-1.954649527096823,-5.64992244174596,1.954649527096823,1.954649527096823,-5.670286196053159
8,-2.1537259684838155,-6.279473219711957,2.1736583689675153,2.1537259684838155,-6.2834176241489565
9,-3.176688977120057,-7.442909776677416,3.199972923093339,1.0889696795427015,-6.204297033056238
10,-5.806325692767497,-7.310289584661834,1.748589533918745,1.318484094989378,-7.727019959650563
11,-6.398428621827588,-7.673308524013475,1.479125512718483,1.0911043826807805,-8.056969288532798
12,-6.770857723021266,-7.916985605478172,1.3239209932639664,0.9668028698823611,-8.269173544416615
13,-8.969564881215376,-7.205762811742105,-2.649784723292511,1.7362840825298682,-6.156894122784731
14,-9.453636465408797,-7.6638708899320385,-3.0148406710190496,1.4338872468462198,-6.241450369932566
15,-9.823869287050394,-7.876013584554633,-3.1501957692538363,1.3584560178154272,-6.4587053422807825
16,-10.034621399250899,-7.808456930048759,-3.3766232699674648,1.4598272222001054,-6.371630795334072
17,-10.330249924358633,-8.022170753897989,-3.554567942546177,1.4048620679116703,-6.575868750857796
18,-10.594571079097308,-8.182416171885444,-3.6527044934360586,1.3788683926481116,-6.751815558627399
19,-10.466655385691732,-8.323438695313747,-3.5112574398606236,1.2422362508559068,-6.8972047088147
20,-8.698694687611642,-7.303781607809629,-4.5127291154123474,2.7892296170428783,-8.695660278836113
21,-8.730331896132457,-7.578936508569505,-4.240162949186286,3.3381760863146757,-8.729432489192742
22,-8.749975134034928,-7.815155202434261,-4.066396426818261,3.748503001909443,-8.750085682099614
23,-0.15195119633388554,-5.659646382056441,-0.41734047680771774,5.924181207900761,-0.6475579109301594
24,-0.15190267805701102,-5.659627447547159,-0.4172856793433059,5.924213668133325,-0.6475266682768746
25,-0.15185640446902735,-5.659611072111918,-0.41723352494544935,5.924245291824288,-0.6474983035353729
26,-0.5101518070126491,-5.792024514541896,-0.5097759291979381,5.792811272227179,-0.8924773359847942
