,b,w_-1,w_-2,w_-3,w_-4
0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0
3,-1.3821655286618362,1.3821655286618362,1.3821655286618362,-1.3821655286618362,-1.3821655286618362
4,-1.6014912247820037,1.6014912247820037,1.6014912247820037,-1.6014912247820037,-1.6014912247820037
5,-0.13853104742027567,0.13853104742027567,0.13853104742027567,-0.13853104742027567,-0.13853104742027567
6,-0.8940529456834744,-2.881653036229546,0.8940529456834744,-0.8940529456834744,-0.8940529456834744
7,-0.26602443861416,-3.698048393455258,3.592035030234339,-0.26602443861416,-0.26602443861416
8,-0.2611394806598577,-3.9372260237398997,3.985919668927875,-0.12179779920856858,-0.2611394806598577
9,-5.5722056622394485,-3.5065534061461934,3.145501101228727,-0.9320925753664837,5.450661111421549
10,-8.125089725682026,-2.509308985152727,3.5029010433588748,2.4851441118621698,5.934817482885995
11,-8.890642507017363,-2.761411205412908,3.6840033618596135,2.7582912780500357,6.358631649785333
12,-9.391803085327798,-2.930644869944865,3.82290797901724,2.9298278841645,6.6588791535692335
13,-9.5164145093795,-2.8643033837399874,3.9279321953454636,2.8635760844168305,6.616641978037055
14,-9.592805376461344,-2.8136287877878776,4.001813326903216,2.8129378681462116,6.581051847646849
15,-9.6463008410969,-2.7726437894074882,4.057429180063503,2.771969902957031,6.549300716328971
16,-9.690253554869185,-2.739699990288616,4.106420902635178,2.7390407434823785,6.526030544056587
17,-9.754455163967219,-2.745601388160028,4.186898665096998,2.8063834789478386,6.596933292319246
18,-10.003324058297775,-2.766618639361984,4.378505828916881,2.9667105861684657,6.856049408468527
19,-10.039161670059608,-2.736510173346508,4.413305340884224,2.9385339158901544,6.830997844612705
20,-10.07034909451616,-2.7105494347842165,4.444499264149564,2.914309643306311,6.810174918745069
21,-10.100635117402113,-2.688270926689705,4.47629717100251,2.8946446100325653,6.796534177090376
22,-10.12539555098093,-2.668016643844566,4.50273463091293,2.875836741710076,6.7815334187063465
23,-10.150075932134175,-2.650365345083802,4.531364325085222,2.8604073033712067,6.77269527029669
24,-10.169540281220685,-2.633563729823624,4.552809076273952,2.8444366989155516,6.759443019482594
25,-10.188395485228495,-2.6184971076639574,4.575262785477232,2.8305422992069187,6.749736235716402
26,-10.207621374918947,-2.6052831053433025,4.6012879773506725,2.8191645432553067,6.745522778042488
