,b,w_-1,w_-2,w_-3,w_-4
0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0
5,1.3821655286618362,-1.3821655286618362,-1.3821655286618362,1.3821655286618362,-1.3821655286618362
6,0.352658384364572,-2.549338699295758,-0.352658384364572,2.549338699295758,-2.549338699295758
7,-1.8153391179392964,-1.1031037198044278,-2.089801047857862,5.008243885601594,-1.1031037198044278
8,-1.9778016641882268,-1.2138899876600266,-2.283992030384741,5.475683682233002,-1.2138899876600266
9,-0.3494362473613983,0.23276996781668144,-3.928728668549391,4.0453949480941125,0.23276996781668144
10,1.6816303982377334,5.465047294698999,-1.6816303982389487,4.4129460586974,-4.412946058696167
11,1.8493716603385841,6.1405506800261636,-1.8493084869187972,4.919023740703845,-4.918977235500085
12,-0.9050983108907638,5.652439328507171,-5.027271110410628,1.9176421495882559,-7.855206495314206
13,-1.2059274432127765,6.1885477399593904,-5.295002577049034,1.8850047497186562,-8.391658518789992
14,-1.3752810161525484,6.5422079739684555,-5.491299556354033,1.884578976202125,-8.773052024669022
15,0.17116646110379063,0.8542746926691414,-7.004098379080509,-0.1696841725892075,-7.262904686952345
16,-0.09307549155104977,0.1430200492930829,-0.6127791898290149,0.13215310317126197,-0.8505119323700004
17,-0.2364787233461696,0.35922598655522436,-0.7973682986153776,0.32723892370013435,-0.790568329244977
18,-0.17533978250927634,0.33021140656370596,-0.8990539710383507,0.40379178227169193,-0.8932680247015755
19,-0.2909692567342415,0.22106839954960947,-0.8112795671237296,0.4880054646973127,-0.986786006356099
20,-0.13683737795551623,-0.0033931294751636874,-0.6251052382467441,0.27465143392989744,-1.0439240805818963
21,-0.08939257574816849,0.05454667628110799,-0.691054419769594,0.3376298552615382,-1.1233266099622612
22,-0.12307524000231593,0.029422713877236596,-0.7488661041326611,0.35435145883126773,-1.1795382044884586
23,-0.008101814829204234,-0.02360883750082472,-0.6830572795615439,0.4761188076556338,-1.2242677729254137
24,-0.17530914942307319,-0.14296790532863624,-0.6243449856309325,0.3223968358921754,-1.3020161147544174
25,-0.20282769024296943,-0.11539250865177002,-0.668601071455118,0.34486925365673515,-1.3601315519503794
26,-0.18054121538263082,-0.13971905021966852,-0.7172242484077824,0.3681291269618556,-1.402511409166017
