,b,w_-1,w_-2,w_-3,w_-4
0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0
5,1.3821655286618362,1.3821655286618362,1.3821655286618362,-1.3821655286618362,-1.3821655286618362
6,1.4165497201658335e-07,1.4165497201658335e-07,1.4165497201658335e-07,-6.013649453452506,-1.4165497201658335e-07
7,2.96746569519517,-2.967465695189832,2.96746569519517,-5.733603127450323,2.967465695189832
8,3.0515463737302038,-3.5463456775401196,3.546345677540302,-6.492503060361686,3.0515463737300177
9,-1.6638790737905274,-1.6638790737905298,1.6638790737905274,-0.0012902259791504939,-1.6638790737905298
10,-3.5088335844288423,-0.17034649895165116,3.5088335844288423,-0.0018992041708794265,-0.17034649895165105
11,-3.8796162480072143,-0.10432200845378341,3.8796162480072143,-0.0004461195571029468,-0.10474917310872743
12,-3.042966990456808,-3.037907876813196,3.042966990456808,-0.6897759698883977,-3.042966990456808
13,-3.559009138880483,-3.5571913403893753,3.5590091388804828,-0.690721987867416,-3.5571913403893753
14,-1.0853196845015947,-0.30742878401462875,0.5233520464198534,-0.1292390734433291,-0.30742878401462875
15,-1.1657780710385068,-0.18593089520760614,0.6171743787654882,-0.27964661100545946,-0.18593089520760622
16,-0.8443362251996197,-0.20422592278369225,0.28880810338274704,-0.5277003938474828,0.21027753624288312
17,-0.9524641730408349,-0.35036584841552554,0.377212821448954,-0.45874933959897213,0.2421933815235037
18,-0.944930227752146,-0.5499353548693344,0.5579019970976711,-0.5709056650602451,0.045781331118784255
19,-0.4561092799819539,-0.1962087952710682,0.3112183780590164,-0.1739091826287878,-0.06236801699402201
20,-0.6451541474410641,-0.38182407319399614,0.21380535176818413,-0.09760055579376761,-0.2440775136511599
21,-0.5536661226079329,-0.4922943745076416,0.3510736117594029,0.04811217597767171,-0.3428165142385294
22,-0.6340374125206117,-0.5492323365907252,0.3869641560211267,-0.0005932099727873395,-0.4135277966648315
23,-0.7541018856402757,-0.4927958309291562,0.3004816205369487,0.06447734091857531,-0.541033236265668
24,-0.6865956803263439,-0.6032962895529888,0.20957465290693064,0.1706977355791463,-0.6115830126489215
25,-0.4012804053850475,-0.34401008811009987,0.01661383395946663,0.008698807753449452,-0.3456120727253522
