,b,w_-1,w_-2,w_-3,w_-4
0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0
3,-1.3821655286618362,1.3821655286618362,-1.3821655286618362,-1.3821655286618362,-1.3821655286618362
4,-2.549338699295758,2.549338699295758,-0.35265838436457225,-0.35265838436457225,-2.549338699295758
5,-1.1031037198044265,1.1031037198044265,-2.0898010478578626,1.8153391179392981,-5.00824388560159
6,-2.098590056012324,-0.26830596787181044,-1.1811877444105878,0.9618954194431055,-6.60856924375015
7,-0.5571331671436855,-2.183179185295556,0.8350643978300974,2.625918623162464,-5.088299744915289
8,0.3377368846313371,-0.5067913623500273,-0.5067913623500274,3.8711762820940954,-4.2092852375314695
9,-0.4606222667823316,-2.602731741708649,-2.602731741708649,5.462920567439226,-5.008811113935288
10,-0.5555323061101197,-3.0393790826740816,-2.692123847897641,6.001101452163072,-5.1037484578862555
11,-0.4687921945084082,-2.911804083272485,-2.911804083272485,6.173832520509964,-5.017010405181896
12,-0.6794233569207492,-3.3249220308079948,-3.3249220308079948,6.59564661468631,-5.227648381005904
13,-0.8368613229701252,-3.1818021023122625,-3.5278513806157115,6.565899440732005,-5.3850873789490965
14,-1.1633258139676943,-3.320029153987245,-3.666208852016872,7.219485848947543,-5.711556576874124
15,-1.3422106869688357,-3.4898101946309525,-3.8361048351183933,7.577834709684429,-5.890445498214958
16,-1.4728504411008456,-3.6191891758584522,-3.965547305990056,7.839434925159117,-6.0210874510030665
17,-9.144341814121535,-4.289535191549643,-4.645744768202533,7.445198794675865,2.044918820821932
18,-10.471336313744299,-4.850029684426033,-5.202148969924467,8.489673301428821,2.327849300692517
19,-11.275496021116785,-5.350981297546367,-5.70168364795959,9.143651701169077,2.478168487854514
20,-11.875482582826944,-5.65163240763252,-6.001268819088002,9.592849304091624,2.629026954211334
21,-10.563952132198848,-5.652686984017985,-5.99910815739831,10.910247512556264,0.00023750088438325448
22,-10.463473959559305,-5.550882772961457,-6.099848279644233,11.012196573341908,0.0005767510954582258
23,-10.463458046281087,-5.550852605664252,-6.099855036356093,11.012244955372037,0.0005076783288742206
24,-10.290642739206545,-5.55050701424286,-6.099496331945439,11.186093205868712,-0.34615118748423807
25,-10.463881235991344,-5.723127094562121,-5.926242430673665,11.013740733260235,-0.3473026951481322
