,b,w_-1
0,0.0,0.0
1,0.0,0.0
2,1.0876360950104578,1.0876360950104578
3,1.6583725505231408,1.6583725505231408
4,0.34959498072128464,0.34959498072128464
5,-0.7410592364705769,1.434212953550339
6,0.33826881043367696,0.3548783771892483
7,-4.128819427013154e-05,6.222616957452337e-05
8,0.3462352630371923,-0.3462352624192569
9,0.14384129338924426,-0.549305156105963
10,0.34649218767252526,-0.7519572957767169
11,0.20273261402629236,-0.8958796022514529
12,-0.14383981146800662,-0.5493073690918033
13,-9.616661192084474e-08,-0.6931470843933332
14,-0.11157175072950874,-0.8047189312893188
15,-2.492765779838133e-08,-0.9162907069464856
16,-0.09116076949038641,-1.0074515013645295
17,-0.2938933321937672,-0.8047189564743408
18,-0.4377343686746398,-0.6608779199934699
19,-0.5493061443340073,-0.5493061443341025
20,-0.4581453659370794,-0.6404669227310303
21,-0.25541281193967236,-0.437734368733627
22,-0.33248815179118413,-0.5148097085851387
23,-0.25541281188299547,-0.5918850485042083
24,-0.11157177565714052,-0.44804401227835355
25,-1.7137772837043075e-16,-0.33647223662121317
26,0.09116077839697745,-0.2453114582242356
27,0.024395082084716035,-0.312077154536497
28,-0.06676569631226129,-0.22091637613951967
29,6.84789418409539e-17,-0.28768207245178107
30,-0.05889151782819187,-0.3465735902799727
31,-1.002315826780729e-16,-0.40546510810816444
32,0.07707533991362903,-0.32838976819453525
33,0.14384103622589053,-0.2616240718822738
34,0.09116077839697732,-0.31430432971118694
35,0.014085438483348185,-0.23722898979755785
36,-0.05268025782891316,-0.17046329348529649
37,-0.1115717756571048,-0.11157177565710474
38,-0.16425203348601783,-0.05889151782819171
39,-0.2119071233881802,-0.011236427926029273
40,-0.1592268655592672,-0.06391668575494235
41,-0.10033534773107557,-0.00502516792675067
42,-0.04765508990216237,0.04765508990216239
43,-0.09531017980432499,-5.676243868046168e-18
44,-0.13881586829913972,0.043505688494814794
45,-0.178837222135908,0.08352704233158313
46,-0.2158912082127689,0.12058102840844406
47,-0.25038764395624474,0.15507746415191975
48,-0.20273255405408225,0.10742237424975747
49,-0.24623824254889728,0.06391668575494229
50,-0.20273255405408233,0.020410997260127364
51,-0.24275390789085038,-0.019610356576640734
52,-0.2750231684596359,0.012658903992144716
53,-0.23500181462286782,-0.02736244984462323
54,-0.1873467247207054,0.020292640057539255
55,-0.22440071079756638,-0.016761346019321634
56,-0.18734672472070546,-0.053815332096182694
57,-0.22184316046418126,-0.08831176783965844
58,-0.25215547137239863,-0.057999456931441026
59,-0.2176590356289226,-0.09249589267491667
60,-0.17415334713410793,-0.048990204180101804
61,-0.2064226077028933,-0.08125946474888737
62,-0.17415334713410802,-0.11352872531767295
63,-0.20446565804232542,-0.14384103622589037
64,-0.17415334713410782,-0.1741533471341078
65,-0.1341319932973397,-0.13413199329733974
66,-0.1627112002173139,-0.1627112002173138
67,-0.13413199329733963,-0.1912904071372882
68,-0.09707800722047857,-0.15423642106042715
69,-0.12411161785561643,-0.1812700316955651
70,-0.09707800722047877,-0.20830364233070295
71,-0.06258157147700316,-0.17380720658722715
72,-0.0882282186707784,-0.19945385378100258
73,-0.11680742559075272,-0.17087464686102827
74,-0.09116077839697706,-0.19652129405480356
75,-0.11555586048169326,-0.22091637613951967
76,-0.09116077839697732,-0.2453114582242355
77,-0.0588915178281918,-0.2130421976554503
78,-0.02857920691997422,-0.18272988674723262
79,-0.05183921473742081,-0.205989894564679
80,-0.07887282537255874,-0.17895628392954122
81,-0.05561281755511212,-0.2022162917469878
82,-0.027033610635137963,-0.17363708482701323
83,1.401453282312038e-16,-0.14660347419187553
84,0.02564664719377514,-0.12095682699809998
85,0.050041729278491216,-0.09656174491338416
86,0.07330173709593757,-0.07330173709593774
87,0.05107585581052057,-0.09552761838135451
88,0.02542920861674554,-0.0698809711875793
89,0.04765508990216243,-0.09210685247299634
90,0.02637528269276456,-0.11338665968239395
91,0.0019802006080484476,-0.08899157759767845
92,0.02326000781744639,-0.1102713848070763
93,0.002849010557318871,-0.1306823820672037
94,0.02326000781744629,-0.15109337932733113
95,0.003649651240805911,-0.17070373590397203
96,-0.019610356576640713,-0.1474437280865258
97,3.9769640581867077e-17,-0.16705408466316604
98,0.02222588128541694,-0.1448282033777493
99,0.04350568849481506,-0.12354839616835143
100,0.06391668575494239,-0.10313739890822402
101,0.08352704233158315,-0.0835270423315833
102,0.10239720632300665,-0.06465687834015969
103,0.1205810284084441,-0.04647305625472234
104,0.1017108644170207,-0.06534322024614563
105,0.12058102840844391,-0.08421338423756941
106,0.10239720632300661,-0.10239720632300692
107,0.08017132503758968,-0.08017132503758957
108,0.05889151782819163,-0.058891517828191735
109,0.0384805205680643,-0.038480520568064405
110,0.018870163991423442,-0.018870163991423394
111,-9.741313006962247e-17,1.1264644808763877e-16
112,0.018183822085437455,-0.018183822085437177
113,0.0006381621798025075,-0.035729481991072634
114,0.018183822085437593,-0.05327514189670758
115,0.0012330462475966268,-0.07022591773454852
116,0.018183822085437482,-0.0871766935723893
117,0.0017889106739420878,-0.10357160498388458
118,-0.016394911411495232,-0.085387782898447
119,-8.304576504882431e-17,-0.1017826943099426
120,-0.01587434915728969,-0.11765704346723266
121,-5.557985559747645e-17,-0.13353139262452277
122,-0.015385829333376663,-0.14891722195789933
123,-0.03293148923901161,-0.13137156205226436
124,-0.04988226507685253,-0.11442078621442384
125,-0.034496435743475475,-0.12980661554780068
126,-0.01695077583784062,-0.11226095564216579
127,-0.031877257412680694,-0.12718743721700637
128,-0.01695077583784084,-0.14211391879184657
129,6.491023544664176e-17,-0.12516314295400582
130,-0.014493768436625944,-0.13965691139063224
131,-3.409062345906185e-17,-0.15415067982725816
132,-0.014085438483348258,-0.16823611831060648
133,-0.030480349894843668,-0.15184120689911113
134,-0.016394911411495214,-0.1659266453824589
135,-2.0597335367626084e-16,-0.1495317339709636
136,0.015874349157290107,-0.13365738481367337
137,0.03126017849066708,-0.11827155548029662
138,0.04618666006551238,-0.10334507390545138
139,0.060680428502285534,-0.08885130546867784
140,0.04698094140513971,-0.10255079256582446
141,0.06068042850213362,-0.11625027965694425
142,0.07476586705785179,-0.10216484110122655
143,0.08846535548871408,-0.08846535267036411
144,0.1017995009140171,-0.0751312072450607
145,0.11478755236025098,-0.062143155798827406
146,0.12745023903300834,-0.049480469126069376
147,0.1398374270157134,-0.03709328114336511
148,0.15227789319425936,-0.024652814964818495
149,0.16729383247625776,-0.009636875682820402
150,0.19555379485881352,0.018623086699735544
151,0.05046023969614449,-0.12647046846293317
152,0.4766639638198386,0.29973325566076015
153,-0.0979369800911909,-0.27486768825026864
154,0.5939446145912702,0.41701390643219205
155,-0.1408225011575842,-0.3177532093166623
156,0.6895213917925919,0.5125906836335139
157,-0.16617924887515922,-0.3431099570342374
158,0.7723540534602905,0.5954233453012123
159,-0.23240527137546563,-0.40933597953454415
160,0.8290902019486805,0.6254912467074409
161,-0.22309101861395408,-0.4266899738551939
162,0.9039140228253528,0.7003150675841132
163,-0.29196002057593606,-0.4638102775025934
164,0.9010274168697079,0.7032016735397582
165,-0.329659538832519,-0.5274852821624387
166,0.9475959452217815,0.7244523939071739
167,-0.36596767661779106,-0.5891112279320017
168,0.9626830563328368,0.7703111637068847
169,-0.369007199556735,-0.5860717049930582
170,1.0101562823675794,0.7930917771297548
171,-0.4148118785789392,-0.6318763838167658
172,1.0499014473832051,0.8087393885996454
173,-0.4487948478757182,-0.6899569046926046
174,1.0866047795289056,0.821912207870402
175,-0.4824475488583515,-0.747140103085421
176,1.0939829270701753,0.8591440975415598
177,-0.48587687266720514,-0.7437107792765676
178,1.125227656215416,0.8673985479133643
179,-0.5196210080359718,-0.799957720038833
180,1.17256367438017,0.892261762901067
181,-0.5083591675208554,-0.7886611327579296
182,1.2414962182558034,0.9611942531017772
183,-0.4927135759680368,-0.7730155411222028
184,1.2949592420112144,1.014657276857058
185,-0.5504430022863898,-0.8005121138944107
186,1.2948445692320474,1.0147719496362237
187,-0.5300813198942298,-0.8013945753581517
188,1.343794556333392,1.0699222732143772
189,-0.6689005714248168,-0.746776166556981
190,1.5818979889371707,0.8318188406105982
191,-0.7905830809754171,-0.6028905545962544
192,1.6330288569237024,0.882398516846918
193,-0.8672398996614652,-0.6096685966036983
194,1.714120109245792,0.8337609867425055
195,-0.9912120246096856,-0.5699051690911532
196,1.8291605279226089,0.7187205680656878
197,-1.052443035762214,-0.5938673252787883
198,1.889055545131064,0.6869434697049555
199,-1.053107270926869,-0.5657867636224099
